web-scraper-order,web-scraper-start-url,detail,detail-href,title,question,answer,votes,answers
1666768557-326,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How to avoid errors in Vscode for putting header files in a separate directory than src,https://stackoverflow.com/questions/72640804/how-to-avoid-errors-in-vscode-for-putting-header-files-in-a-separate-directory-t,How to avoid errors in Vscode for putting header files in a separate directory than src,"Ok so I am having an issue with errors in VSCode. Basically I decided to reorganize and move my header files into a separate folder, ""include"". My directory put simply is as follows:","You need to put that folder's path to the Include path. One way to do that is shown below. The screenshots are attached with each steps so that it(the process) would be more clear.
Step 1
Press Ctrl + Shift + P
This will open up a prompt having different options. You have to select the option saying Edit Configurations

Step 2
After selecting Edit Configurations a page will open with different options. You have to scroll down and go the the option saying Include Path and just paste the path to your include folder there.

Below is the picture after adding the include folder's path into the Include Path option.

Step 3
Now after adding the path to the include folder into the Include path field you can close this window and all the vscode errors that you mentioned will not be there anymore.",0,2
1666768582-327,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How to change C++ version being used by VS Code?,https://stackoverflow.com/questions/66680147/how-to-change-c-version-being-used-by-vs-code,How to change C++ version being used by VS Code?,I printed __cplusplus and found out that my files are executed with C++98 in Visual Studio Code. I'm using the CodeRunner extension.,"Go to extensions, then type ms-vscode.cpptools in the search bar.
Click on the C/C++ extension, and to the right of Uninstall, there should be a gear icon. Click it.
A dropdown menu should open. Select Extension Settings.
Now click in the search bar (sometimes it makes you click twice before you can type without replacing the extension filter) and type  cppStandard.
From here, you should see two options, one for Cpp Standard, and one for C Standard.
Change Cpp Standard to your desired version. I generally use c++17.",5,2
1666768608-328,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Visual Studio Code is not showing the ouput of Python,https://stackoverflow.com/questions/49529153/visual-studio-code-is-not-showing-the-ouput-of-python,Visual Studio Code is not showing the ouput of Python,"I am really new to Python and just started the course ""Python 3 basics by Sendtex (Link: https://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ)"".",null,10,6
1666768633-329,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Why is VS Code showing this these labels or parameter names for System.out.println() in java files?,https://stackoverflow.com/questions/71865654/why-is-vs-code-showing-this-these-labels-or-parameter-names-for-system-out-print,Why is VS Code showing this these labels or parameter names for System.out.println() in java files?,I have the java extension pack installed. This just started happening today. Not sure if this is due to some json settings or something else.,"See Random things such as ""s:"", ""x:"", and name of parameters are showing up inside of my print statements: java extension issues.

It's a new feature introduced in 1.5.0, called inlay hint. We use that
to display the parameter names of those arguments.
If you do not want to have them in your editor, you can set the
setting java.inlayHints.parameterNames.enabled to none",11,7
1666768658-330,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Visual Studio Code c++11 extension warning,https://stackoverflow.com/questions/51046803/visual-studio-code-c11-extension-warning,Visual Studio Code c++11 extension warning,"I am in the process of learning c++ and I'm using visual studio code for Mac. I use Code Runner to run my program. My problem is that when I use something from c++11 like ""auto"" for variable declaration, visual studio code gives me a warning like this, but if I try running it on Xcode or Eclipse it doesn't:","In VS Code:

File>>Preference>>Settings>>Extensions

find C_Cpp>Default:Cpp Standard drop down menu

set that to c++11",16,9
1666768709-331,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Is there a way to flatten or merge single-folder folders in vs code explorer?,https://stackoverflow.com/questions/53726587/is-there-a-way-to-flatten-or-merge-single-folder-folders-in-vs-code-explorer,Is there a way to flatten or merge single-folder folders in vs code explorer?,"I don't know if there's a name for this kind of behavior.

I've seen it in IntelliJ, where single-folder folders are unified or flattened in the project tree pane, where instead of:","It looks like it is in the iteration plan for June, 2019.  

See Iteration plan for June, 2019: release in July, 2019 and issue: merging single child directories.



Update: making it into v1.41 to be released in December, 2019.  See https://github.com/microsoft/vscode-docs/blob/vnext/release-notes/v1_41.md#compact-folders-in-explorer


  Compact folders in Explorer
  
  In the File Explorer, we now render single child folders in a compact
  form. In such a form, single child folders will be compressed in a
  combined tree element. Useful for Java package structures, for
  example.
  
  Setting explorer.compactFolders controls this behavior. By default,
  this setting is turned on.


So ""explorer.compactFolders"": false, will disable the feature.",17,1
1666768735-332,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,How to quickly change shell folder to match the currently open file,https://stackoverflow.com/questions/56218958/how-to-quickly-change-shell-folder-to-match-the-currently-open-file,How to quickly change shell folder to match the currently open file,"With single file opened in vscode, when I open integrated Powershell it always starts in my $HOME folder.","EDIT: A new command will be added in v1.39 to make this more straightforward, see release notes.  The example keybinding given is:

{
    ""key"": ""cmd+shift+h"",
    ""command"": ""workbench.action.terminal.newWithCwd"",
    ""args"": {
        ""cwd"": ""${fileDirname}""
    }
}


which does indeed work in the Insider's Build.  This will create a new terminal though, not modify an existing terminal.



[Original Answer]: This will change the current terminal.

You can set up a keybinding to do this pretty easily:

{
  ""key"": ""alt+t"",
  ""command"": ""workbench.action.terminal.sendSequence"",
  ""args"": {""text"": ""cd '${fileDirname}'\u000D""}
},


The \u000D is a return so the command triggers immediately.

Also note that I put the '${fileDirname}' in quotes in case your directory name has spaces in it.

The keybinding will work whether focus is in the terminal or the file.



Suggested edit to be tested : 

Note that on windows, you must use the following instead:

""args"": {""text"": ""cd /d \""${fileDirname}\""\u000D""}


This is because on Windows, the /d parameter must be used with cd to switch drives.



Also see shortcut to change directory in Powershell and cmd for additional info in case you are changing drive letters and escaping double quotes in Powershell.

{
    ""key"": ""ctrl+alt+d"",
    ""command"": ""workbench.action.terminal.sendSequence"",
    ""args"": {""text"": ""cd \""${fileDirname}\""\u000D""}
}


with discussion of the /d flag.  Thanks to @skataben for the additional info.



Alternatively, there is an extension to do this:  terminal-here, but the keybinding actually works faster.  The sendSequence and variable substitution functionality was not available when that extension was created.

Finally, if you right-click on a folder in the explorer, there is an Open in Terminal option there (and corresponding command).  Which means you could use that command in a keybinding like so:

{
  ""key"": ""alt+t"",
  ""command"": ""openInTerminal""
}


But my first sendSequence keybinding remains the fastest way to do this.",12,5
1666768760-333,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Angular CLI 1.7.0 and Visual Studio Code - can't set breakpoints,https://stackoverflow.com/questions/48892311/angular-cli-1-7-0-and-visual-studio-code-cant-set-breakpoints,Angular CLI 1.7.0 and Visual Studio Code - can't set breakpoints,"I'm using the Chrome Debugger plugin in Visual Studio Code to debug an Angular application.  After upgrading to use angular/cli@1.7.0, we can no longer hit breakpoints in the typescript code within VS Code while debugging.  If we roll back to angular/cli@1.6.7, breakpoints start working again.","For those coming across this the fix is to modify your launch.json sourceMapPathOverrides as follows:

""sourceMapPathOverrides"": { 
    ""webpack:/*"": ""${webRoot}/*"" 
}


This fixed it for me with the latest @angular/cli (version 1.7.3).

Answer was found here.",7,6
1666768786-334,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,VSCode hide top-right icons,https://stackoverflow.com/questions/47266613/vscode-hide-top-right-icons,VSCode hide top-right icons,"I'm a big fan of VScode's minimalist approach, but one thing is bugging me. I would like to hide editor-tab icons.","Extension Custom CSS and JS Loader

.tabs-and-actions-container .editor-actions {
    display: none !important;
}


Optionally, show them on hover:

.tabs-and-actions-container:hover .editor-actions {
    display: flex !important;
}",42,8
1666768811-335,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Import could not be resolved/could not be resolved from source Pylance in VS Code using Python 3.9.2 on Windows 10,https://stackoverflow.com/questions/68486207/import-could-not-be-resolved-could-not-be-resolved-from-source-pylance-in-vs-cod,Import could not be resolved/could not be resolved from source Pylance in VS Code using Python 3.9.2 on Windows 10,My Flask App server is running but I have three imports that cannot be resolved.,"Open the Command Palette (Ctrl+Shift+P), then select the Python: Select Interpreter. From the list, select the virtual environment in your project folder that starts with .env.

Run Terminal: Create New Integrated Terminal (Ctrl+Shift+` or from the Command Palette), which creates a terminal and automatically activates the virtual environment by running its activation script.

Install sqlalchemy and mongoengine with command pip install. Once installing them successfully, there will intellisense when you import them and no warnings shown.



Besides, the folder .vscode is to store Workspace settings as well as debugging and task configurations.",45,7
1666768837-336,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,How to filter files shown in Visual Studio Code?,https://stackoverflow.com/questions/31639563/how-to-filter-files-shown-in-visual-studio-code,How to filter files shown in Visual Studio Code?,How would you filter the files shown in the folder view in Visual Studio Code?,"Hiding files and folders

The files.exclude setting lets you define patterns to hide files and folders from several places in VS Code like the explorer and search. Once defined, files and folders matching any of the patterns will be hidden.

{
    ""files.exclude"": {
        ""**/*.js"": true
    }
}


Hide derived resources

If you use a language that compiles to another file at the same location of the source file, like TypeScript does to JavaScript, you can easily set an expression to hide those derived files:

""**/*.js"": { ""when"": ""$(basename).ts""}


Such a pattern will match on any JavaScript file (**/*.js), but only if a sibling file with the same name and extension, *.ts in this example, is present. The same technique can be used for other transpiled languages, like Coffee Script or Less/Sass, too.

Source: VS Code v0.5.0 (July 2015)",82,5
1666768862-337,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Disable wavy underline in VS Code,https://stackoverflow.com/questions/43454967/disable-wavy-underline-in-vs-code,Disable wavy underline in VS Code,"I'm using Visual Studio Code (v1.11.2).

Is there any way to disable wavy underline at all?","To disable wavy/squiggly underline in vscode, go to preferences and set underline color to fully transparent:  

{
    ""workbench.colorCustomizations"": {
        ""editorError.foreground"":   ""#00000000"",
        ""editorWarning.foreground"": ""#00000000"",
        ""editorInfo.foreground"":    ""#00000000""
    }
}


Though it may be better to make underline color just less vibrant:

{
    ""workbench.colorCustomizations"": {
        ""editorError.foreground"":   ""#ff000088"",
        ""editorWarning.foreground"": ""#ffe60033"",
        ""editorInfo.foreground"":    ""#00ff0088""
    }
}",55,9
1666768888-338,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,"Visual Studio Code ""Open With Code"" does not appear after right-clicking a folder",https://stackoverflow.com/questions/37306672/visual-studio-code-open-with-code-does-not-appear-after-right-clicking-a-folde,"Visual Studio Code ""Open With Code"" does not appear after right-clicking a folder","Just installed Visual Studio Code 1.1.1 on a Windows 7 machine. When I right-click on a folder, ""Open With Code"" does not appear.","Copied from Right click on Windows folder and open with Visual Studio Code

Create file vsCodeOpenFolder.reg with this content (If you didn't choose the default installation path then you need to adjust the paths in this file):
 Windows Registry Editor Version 5.00
 ; Open files
 [HKEY_CLASSES_ROOT\*\shell\Open with VS Code]
 @=""Edit with VS Code""
 ""Icon""=""C:\\Program Files (x86)\\Microsoft VS Code\\Code.exe,0""
 [HKEY_CLASSES_ROOT\*\shell\Open with VS Code\command]
 @=""\""C:\\Program Files (x86)\\Microsoft VS Code\\Code.exe\"" \""%1\""""
 ; This will make it appear when you right click ON a folder
 ; The ""Icon"" line can be removed if you don't want the icon to appear
 [HKEY_CLASSES_ROOT\Directory\shell\vscode]
 @=""Open Folder as VS Code Project""
 ""Icon""=""\""C:\\Program Files (x86)\\Microsoft VS Code\\Code.exe\"",0""
 [HKEY_CLASSES_ROOT\Directory\shell\vscode\command]
 @=""\""C:\\Program Files (x86)\\Microsoft VS Code\\Code.exe\"" \""%1\""""
 ; This will make it appear when you right click INSIDE a folder
 ; The ""Icon"" line can be removed if you don't want the icon to appear
 [HKEY_CLASSES_ROOT\Directory\Background\shell\vscode]
 @=""Open Folder as VS Code Project""
 ""Icon""=""\""C:\\Program Files (x86)\\Microsoft VS Code\\Code.exe\"",0""
 [HKEY_CLASSES_ROOT\Directory\Background\shell\vscode\command]
 @=""\""C:\\Program Files (x86)\\Microsoft VS Code\\Code.exe\"" \""%V\""""


Double click it to create the registry entries.

If the ""Open with Code"" doesn't appear in the Explorer's context menu then you should restart your system.

If you're running the 64-bit or Insiders version of VS Code, change the path accordingly. ie. C:\\Users\\[user_name]\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe",137,22
1666768913-339,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Visual Studio Code Automatic Imports,https://stackoverflow.com/questions/38210604/visual-studio-code-automatic-imports,Visual Studio Code Automatic Imports,I'm in the process of making the move from Webstorm to Visual Studio Code.  The Performance in Webstorm is abysmal.,"2018 now. You don't need any extensions for auto-imports in Javascript (as long as you have checkjs: true in your jsconfig.json file) and TypeScript.
There are two types of auto imports: the add missing import quick fix which shows up as a lightbulb on errors:

And the auto import suggestions. These show up a suggestion items as you type. Or you can select text and press Ctrl + Space to bring up a list of suggestions. Accepting an auto import suggestion automatically adds the import at the top of the file

Both should work out of the box with JavaScript and TypeScript. If auto imports still do not work for you, please open an issue",128,17
1666768939-340,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,"'TypeError [ERR_INVALID_ARG_TYPE]: The ""path"" argument must be of type string. Received type undefined'",https://stackoverflow.com/questions/60234640/typeerror-err-invalid-arg-type-the-path-argument-must-be-of-type-string-r,"'TypeError [ERR_INVALID_ARG_TYPE]: The ""path"" argument must be of type string. Received type undefined'",I'm working on a project in React and ran into a problem that has me stumped.,"To fix this issue simply upgrade react-scripts package (check latest version with npm info react-scripts version):


Replace in your package.json ""react-scripts"": ""^3.x.x"" with ""react-scripts"": ""^3.4.1"" (or the latest available version)
(optional for some) Delete your node_modules folder
Run npm install or yarn install


Some people reported that this issue was caused by running npm audit fix (avoid it!).",287,29
1666768947-341,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,How can I install vscode-server in linux offline [duplicate],https://stackoverflow.com/questions/56671520/how-can-i-install-vscode-server-in-linux-offline,How can I install vscode-server in linux offline [duplicate],"I am trying to install VScode remote-ssh extensions, but my remote host could not connect to the Internet,so there is no way to download software is needed.
So I got some error message like that:","First get commit id
Download vscode server from url: https://update.code.visualstudio.com/commit:${commit_id}/server-linux-x64/stable
Upload the vscode-server-linux-x64.tar.gz to server
Unzip the downloaded vscode-server-linux-x64.tar.gz to ~/.vscode-server/bin/${commit_id} without vscode-server-linux-x64 dir
Create 0 file under ~/.vscode-server/bin/${commit_id}

commit_id=f06011ac164ae4dc8e753a3fe7f9549844d15e35

# Download url is: https://update.code.visualstudio.com/commit:${commit_id}/server-linux-x64/stable
curl -sSL ""https://update.code.visualstudio.com/commit:${commit_id}/server-linux-x64/stable"" -o vscode-server-linux-x64.tar.gz

mkdir -p ~/.vscode-server/bin/${commit_id}
# assume that you upload vscode-server-linux-x64.tar.gz to /tmp dir
tar zxvf /tmp/vscode-server-linux-x64.tar.gz -C ~/.vscode-server/bin/${commit_id} --strip 1
touch ~/.vscode-server/bin/${commit_id}/0

- or -
See this Gist download-vs-code-server for a more complete shell script that will also get the latest released commit SHA (from GitHub) so you do not need to supply it yourself.

[edited to add helpful comment in case comments disappear later:]
You can replace commit:<commit> with latest to get the latest release build. Example: https://update.code.visualstudio.com/latest/server-linux-x64/stable. Respects indicated quality i.e, stable, insider. – Doom5",38,1
1666768973-342,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,#include errors detected in vscode,https://stackoverflow.com/questions/45583473/include-errors-detected-in-vscode,#include errors detected in vscode,I am using Visual Studio Code in my C++ project. I installed Microsoft C/C++ Extension for VS Code. I got the following error:,Close and re-open Visual Studio Code.,112,20
1666768999-343,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Visual Studio Code to use node version specified by NVM,https://stackoverflow.com/questions/44700432/visual-studio-code-to-use-node-version-specified-by-nvm,Visual Studio Code to use node version specified by NVM,Is it possible for VS Code to use node version specified by NVM?,"In VS Code:

go to your launch.json file
add the runtimeVersion attribute inside configurations as shown below

In this example, we are assuming 4.8.7 is already installed using nvm:
{
""version"": ""<some-version>"",
""configurations"": [
    {
        ""type"": ""node"",
        ""runtimeVersion"": ""4.8.7"", // If i need to run node 4.8.7
        ""request"": ""launch"",
        ""name"": ""Launch"",
        ""program"": ""${workspaceFolder}/sample.js""
    }
]}",159,32
1666769025-344,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=8&pagesize=15,Automatically hard wrap lines at column in VSCode,https://stackoverflow.com/questions/43122175/automatically-hard-wrap-lines-at-column-in-vscode,Automatically hard wrap lines at column in VSCode,"How can I automatically hard wrap lines in VSCode? By that I mean if a line reaches a specified column, automatically insert a newline at the word boundary closest to that column without going over. Vim has a setting called textwidth that does this that I like to use when editing Markdown. It doesn't seem like VSCode does, as far as I can tell. It just has ways to control softwrapping.","VSCode doesn't support this out of the box. But you can install the Rewrap extension, which allows you to format the block that your cursor is currently in by pressing Alt + Q.

Rewrap requires no further settings, since it reads VSCode's settings to obtain the column at which to break.

Rewrap also supports automatic wrapping (off by default): https://github.com/stkb/Rewrap/wiki/Auto-wrap",211,11
